,dialogue_with_speaker
2333,Cersei Baratheon: I'm sorry your marriage to Ned Stark didn't work out. You seemed so good together.
2334,Robert Baratheon: I'm glad I could do something to make you happy.
2335,"Cersei Baratheon: Without a Hand, everything will fall to pieces."
2336,Robert Baratheon: I suppose this is where you tell me to give the job to your brother Jaime.
2337,"Robert Baratheon: I don't know. But I do know this, if the Targaryen girl convinces her horse-lord husband to invade and the Dothraki horde crosses The Narrow Sea... We won't be able to stop them."
2338,Cersei Baratheon: The Dothraki don't sail. Every child knows that. They don't have discipline. They don't have armor. They don't have siege weapons.
2339,"Robert Baratheon: It's a neat little trick you do, you move your lips and your father's voice comes out."
2340,Cersei Baratheon: Is my father wrong?
2341,"Robert Baratheon: Let's say Viserys Targaryen lands with forty thousand Dothraki screamers at his back. We hole up in our castles, a wise move. Only a fool would meet the Dothraki in an open field. They leave us in our castles. They go from town to town, looting and burning, killing every man who can't hide behind a stone wall, stealing all our crops and livestock, enslaving all our women and children. How long do the people of the Seven Kingdoms stand behind their absentee King, their cowardly King hiding behind high walls? When do the people decide that Viserys Targaryen is the rightful monarch after all."
2342,Cersei Baratheon: We still outnumber them.
2343,Cersei Baratheon: Five.
2344,"Robert Baratheon: Five... one. One army, a real army, united behind one leader with one purpose. Our purpose died with the Mad King. Now we've got as many armies as there are men with gold in their purse. And everybody wants something different. Your father wants to own the world. Ned Stark wants to run away and bury his head in the snow."
2345,Cersei Baratheon: What do you want?
2346,"Robert Baratheon: We haven't had a real fight in nine years. Back-stabbing doesn't prepare you for a fight. And that's all the realm is now, back-stabbing and scheming and arse-licking and money-grubbing. Sometimes I don't know what holds it together."
2347,Cersei Baratheon: Our marriage.
2348,NARRATOR:The two begin laughing.
2349,"Robert Baratheon: Ah, so here we sit, seventeen years later, holding it all together. Don't you get tired?"
2350,Cersei Baratheon: Every day.
2351,Robert Baratheon: How long can hate hold a thing together?
2352,"Cersei Baratheon: Well, seventeen years is quite a long time."
2353,"Robert Baratheon: Yes, it is."
2354,"Cersei Baratheon: Yes, it tis. What was she like?"
2355,"Robert Baratheon: You've never asked about her, not once. Why not?"
2356,"Cersei Baratheon: At first, just saying her name, even in private felt like I was breathing life back into her. I thought if I didn't talk about her, she'd just fade away for you. When I realized that wasn't going to happen, I refused to ask out of spite. I didn't want to give you the satisfaction of thinking I cared enough to ask. And eventually it became clear that my spite didn't mean anything to you, as far as I could tell, you actually enjoyed it."
2357,Robert Baratheon: So why now?
2358,Cersei Baratheon: What harm could Lyanna Stark's ghost do to either of us that we haven't done to each other a hundred times over?
2359,"Robert Baratheon: You want to know the horrible truth? I can't even remember what she looked like. I only know she was the one thing I ever wanted... Someone took her away from me, and Seven Kingdoms couldn't fill the hole she left behind."
2360,"Cersei Baratheon: I felt something for you once, you know?"
2361,Robert Baratheon: I know.
2362,Robert Baratheon: No. Does that make you feel better or worse?
2363,Cersei Baratheon: It doesn't make me feel anything.
2364,"NARRATOR:Inside one of Baelish’s brothels, Ned is speaking to one of the prostitutes. Jory and Baelish are in the next room."
2365,"Mhaegen: She looks like him, don't she, my Lord? She has his nose, his black hair."
2366,Eddard Stark: Aye.
2367,"Mhaegen: Tell him when you see him, my Lord. If it please you... Tell him how beautiful she is."
2368,Eddard Stark: I will.
2369,"Mhaegen: And tell him I've been with no one else. I swear it, my Lord, by the old gods and new. I don't want no jewels or nothing, just him. The King was always good to me."
2370,"Eddard Stark: When Jon Arryn came to visit you, what did he want?"
2371,"Mhaegen: He wasn't that sort of man, my Lord. He just wanted to know if the child was happy, healthy."
2372,Eddard Stark: She looks healthy enough to me. The girl shall want for nothing.
2373,NARRATOR:Ned breaks off from Mhaegen and enters the same room as Baelish and Jory.
2374,"Petyr Baelish: Brothels make a much better investment than ship, I've found. Whores rarely sink."
2375,Eddard Stark: What do you know of King Robert's bastards?
2376,"Petyr Baelish: Well, he has more than you, for a start."
2377,Eddard Stark: How many?
2378,"Petyr Baelish: Does it matter? If you fuck enough women, some of them will give you presents."
2379,Eddard Stark: And Jon Arryn tracked them all down. Why?
2380,Petyr Baelish: He was the King's Hand. Perhaps Robert wanted them looked after. He was overcome with fatherly love.
2381,Eddard Stark: Come.
2382,"NARRATOR:Jory is staring at one of the whores, who flashes him her breast."
2383,Eddard Stark: Jory!
2384,Jory Cassel: My Lord.
2385,NARRATOR:Ned and Jory leave the brothel with a few of Ned’s men. They are suddenly surround by Jaime Lannister and his men.
2386,Jaime Lannister: Such a small pack of wolves.
2387,"Jory Cassel: Stay back, Ser! This is the Hand of the King!"
2388,Jaime Lannister: Was!... the Hand of the King. Now I'm not sure what he is... Lord of somewhere very far away.
2389,"Petyr Baelish: What's the meaning of this, Lannister?"
2390,"Jaime Lannister: Get back inside where it's safe. I'm looking for my brother. You remember my brother, don't you, Lord Stark? Blond hair, sharp tongue, short man."
2391,Eddard Stark: I remember him well.
2392,"Jaime Lannister: It seems he had some trouble on the road. You wouldn't know what happened to him, would you?"
2393,Eddard Stark:He was taken at my command to answer for his crimes.
2394,"NARRATOR:Jaime draws his sword, causing all of them men on both sides to draw their swords, except for Eddard."
2395,Petyr Baelish: My Lords! I'll bring the City Watch!
2396,"Jaime Lannister: Come, Stark. I'd rather you die sword in hand."
2397,Jory Cassel: If you threaten my Lord again...
2398,"Jaime Lannister: Threaten? As in, ""I'm going to open your Lord from balls to brains and see what Starks are made of”?"
2399,"Eddard Stark: You kill me, your brother's a dead man."
2400,Jaime Lannister: You're right. Take him alive! Kill his men!
2401,"NARRATOR:A fight erupts, first Jaime’s men throw spears straight into the chests of two of Ned’s men. Ned draws his sword and moves towards Jaime, fending off several guards in the process. Jory gets to Jaime first. Jaime stabs Jory with a dagger straight through his eye. The fighting ceases and Ned moves forward to Jaime, Jaime’s men all stop to watch the fight. The two fend each other off, as they break, one of Jaime’s guards stabs Ned in the back of the leg with a spear, causing him to fall to the ground. Jaime is openly frustrated and knocks the guard out. He mounts his horse."
2402,"Jaime Lannister: My brother, Lord Stark... We want him back."
2403,NARRATOR:Jaime rides off on horseback and his guards follow suit.
2404,"NARRATOR:Opens at King’s Landing, assumed to be Ned’s quarters. He opens his eyes to find Cersei and King Robert at his bedside."
2405,"Eddard Stark: Your pardon, your Grace."
2406,Cersei Baratheon: Do you know what your wife has done?
2407,Eddard Stark:  She did nothing I did not command.
2408,Robert Baratheon: Who’d have thought she had it in her?
2409,Cersei Baratheon: By what right dare you lay hands on my blood?
2410,Eddard Stark:  I am the King’s Hand -
2411,Cersei Baratheon: You were the King’s Hand!
2412,Cersei Baratheon: You shall now be held accountable.
2413,"Robert Baratheon: Oh, will both of you shut your mouths? Catelyn will release Tyrion and you’ll make your peace with Jaime."
2414,Eddard Stark: He butchered my men.
2415,Cersei Baratheon: Lord Stark was returning drunk from a brothel when his men attacked Jaime.
2416,"Robert Baratheon: Quiet, woman."
2417,Eddard Stark:  Jaime has fled the city. Give me leave to bring him back to justice.
2418,Cersei Baratheon: I took you for a king.
2419,Robert Baratheon: Hold your tongue.
2420,Cersei Baratheon: He’s attacked my brother and abducted the other. I should wear the armor and you the gown.
2421,NARRATOR:Robert smacks Cersei.
2422,Cersei Baratheon: I shall wear this like a badge of honor.
2423,Robert Baratheon: Wear it in silence or I’ll honor you again.
2424,"NARRATOR:Cersei exits the room, slamming the door shut behind her."
2425,Robert Baratheon: See what she does to me? My loving wife. I should not have hit her. That was not… That was not kingly.
2426,Eddard Stark:  If we don’t act… there will be a war.
2427,"Robert Baratheon: So tell your wife to return that little shit of an Imp to King’s Landing. She’s had her fun, now put an end to it. You hear me? Send a raven and put an end to it."
2428,Eddard Stark:  And what about Jaime Lannister? What about Jaime?
2429,"Eddard Stark:  As you command your Grace. With your leave, I will return to Winterfell and set matters straight."
2430,"Robert Baratheon: Piss on that! Send a raven. I want you to stay. I’m the king, I get what I want… I never loved my brothers. A sad thing for a man to admit, but it’s true. You were the brother I chose. We’ll talk when I return from the hunt."
2431,NARRATOR:Robert throws the Hand of the King’s badge onto the bed where Ned is laying.
2432,Eddard Stark: The hunt?
2433,Robert Baratheon: Killing things clears my head. You’ll have to sit on the throne while I’m away. You’ll hate it more than I do.
2434,Eddard Stark: The Targaryen girl -
2435,"Robert Baratheon: Seven hells! Don’t start with her again! The girl will die and I’ll hear no more of it. Put on the badge. And if you ever take it off again, I swear to the Mother I’ll pin the damn thing on Jaime Lannister."
2436,"NARRATOR:Robert exits the room, slamming the door shut behind him. Ned picks up the badge and looks at it."
2437,"NARRATOR:Back at Vaes Dothrak across the sea, Daenerys is holding one of her prized dragon eggs. She looks up at a pot of coals inside of her tent. She walks over and places the egg into the coals. Irri walks into the tent."
2438,Irri: Khaleesi?
2439,NARRATOR:Daenerys picks up the egg from the coals.
2440,"Irri: Oh, Khaleesi!"
2441,"NARRATOR:Irri takes the egg from her hands, dropping it instantly because of the heat. She looks at Daenerys’ hands and there are no burn marks. The two compare hands, Irri’s have burn marks."
2442,Daenerys Targaryen: You’re hurt.
2443,"NARRATOR:A raven caws. Bran is shooting his bow in the courtyard. The raven flies to the crypts of Winterfell, Bran follows. As he enters, again making eye contact with the bird. The raven flies deeper into the crypts. We then see Bran sleeping in his bed, showing that this was another vision, we hear footsteps running towards his door. His door swings opens and Bran sits up in bed breathing heavily. Hodor is carrying the contraption that Tyrion brought the blueprints for. Bran smiles. We then cut to the woods of Winterfell where Bran is shouting as he’s riding on the back of a horse."
